class,text
negative,"2 days in the valley is more or less a pulp fiction knock off . it basically involves how a bunch of quirky characters in the los angeles area end up having their lives become intertwined in some very unusual ways . i'm not going into much greater detail than that , since it would take forever to explain , and quite frankly , i'm not willing to spend any more time on it than the 2 hours that i've already wasted . while it tries very hard to be pulp fiction , 2 days in the valley falls way short . this is quite a condemnation considering the cast includes danny aiello , james spader and jeff daniels . while the story isn't much , and the dialogue and characters rate only marginally better , 2 days in the valley does have a couple of bright spots . james spader's character , while not much better than the rest , is at least fun to watch in a sick sort of way . and we do get to see a nice cat fight between uber babes teri hatcher and charlize theron ( in her first role ) . you know a movie isn't that good when the highlight is a brawl between two women . even if they are both gorgeous . i will give the writers some credit for the fairly clever ways in which they managed to intersect the lives of this group of characters that would have otherwise never interacted . but marveling at that ingenuity is a far cry from actually enjoying the result . while some of the characters and their respective stories are fairly interesting , they inevitably are brought down as they intersect with the other half of the characters that i really cared absolutely nothing about . if i were to put a number on it , only about half of the story and half the characters in this movie were particularly interesting or otherwise enjoyable to watch . this is the sort of movie that only a huge fan of one or more of the cast members should rent , and even then prepare for disappointment . not even charlize theron being naked would get me to sit through this movie again . or at least not all of it anyway . "
negative,"and now the high-flying hong kong style of filmmaking has made its way down to the classics , and it isn't pretty . this time out the nod to asia goes by way of france in the excruciating bland and lukewarm production of the musketeer , a version of dumas's the three musketeers . by bringing in popular asian actor/stunt coordinator xing xing xiong -- whose only prior american attempts at stunt choreography have been the laughable van damme vehicle double team and the dennis rodman cinematic joke simon sez -- our musketeers are thrown into the air to do their fighting . the end result is a tepid and dull action/adventure rip-off that stinks of indiana jones and bad asian kung fu . the story is so simple my grandmother could have adapted the screenplay . d'artagnan ( justin chambers ) is the vengeful son of a slain musketeer . he travels to paris to join the royal musketeers and find the man that killed his parents . in paris , he meets the cunning cardinal richelieu ( stephen rea ) , who is trying to overthrow the king , and richelieu's man-in-black associate febre ( tim roth ) , the killer of his folks . he finds the musketeers in paris disbanded and drunk , so he rounds up aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steven spiers ) to free the musketeer's wrongfully imprisoned leader treville from the king's prison . d'artagnan and his new frisky love interest/chambermaid francesca ( mena suvari ) play footsy and coo at each other as the cardinal hunts down the musketeers until finally the queen ( catherine deneuve ) ends up being captured by the menancing febre , forcing the musketeers to regroup , with d'artagnan leading the charge , and save the day . director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster . one problem is that , in reality , most eastern films have taken their lead from western ones . jet li's high risk is a rip-off of die hard -- not the other way around . ironically , there is awfully little swordplay or action in the film at all -- maybe ten minutes of swashbuckling spread over five scenes . most asian action films carry the bulk of their production with 20- to 30-minute action sequences , because they know the scenes have to carry the picture . the musketeer instead weighs itself down with a predictable and monotonous screenplay by gene quintano ( sudden death ) , horrible acting by stephen rea and tim roth , and the prosaic attempt of justin chambers ( the wedding planner ) to deliver his mousy self as a leader . chambers' d'artangnan isn't a musketeer -- he's a mouseketeer ! and hyam's use of candles and torches to light the grime and filth of 17th century paris are well-noted , but that's the only standout in an overall flat production . "
negative,"a silly film that tries to be a black comedy but plays more like lightweight comedy , with its main asset being a beautiful film location along spain's mountainous coastline . howard pigeon ( jeff goldblum ) is a 40-year-old mineral water salesman who is married for 13 years to a wife constantly nagging him , elizabeth ( mimi rogers ) . after a surprise birthday party for him , where his wife bawls him out for coming late to his surprise party , he confides to his best friend that he can't stand it anymore , and then tells him his plan to kill her while vacationing in the same barcelona hotel where they spent their honeymoon . jeff is going through a severe mid-life crises , worried that he looks older than his age . he incessantly talks to himself , mostly agonizing over his bitter marriage and chastising himself why he went out with elizabeth for a second time , and then why he married her just because she laughed at his jokes and was attractive . he stutters and acts like a man who has lost his confidence . things change on their vacation , as elizabeth makes an effort to be nice while jeff now becomes the grouch . he nervously rehearses his murder plan in the hotel room . by accident the gun goes off and into the pillow where he imagined elizabeth would be sitting . when other hotel guests and staff come to check about the gunshot , he nervously explains that it was the tv . realizing how unworkable his plan is , he places the gun in the shattered pillow and throws it into the ocean while he waits for elizabeth . but elizabeth found his behavior odd during the entire trip , and when after a great deal of effort to get a reservation at the hotel's 5 star restaurant he insists on eating in the room , she decides she had enough of him and checks out without telling him . as a result , he goes to the police to report her missing . while with the police , a telegram comes from his wife saying she left him and is going away because she wants to be alone . his boss and all those he works with are sympathetic to him , and he gets a job promotion . but soon the pillow with the gun is fished out of the water , giving the police cause to arrest him and search his home . there they find letters he has written incriminating him to the murder . the police also find out from the hotel staff about the gunshot heard in his room . in jail , things look bad for him . no one believes him , including his friends and lawyer . his boss fires him and the papers have a field day with the headline story : pigeon : a jailbird . out on bail , he realizes that his only hope is to track down his wife . through a call placed on his credit card , he tracks her down to a mountain resort . once there he learns that she took a hike up the steep mountain and he gets a priest to be his mountain guide after telling him the true story . the film is watchable just for the antics of the jeff goldblum comic performance . he is someone coming apart by the seams , while mimi rogers is his perfect foil . it was mostly pantomine humor , with the comedy charged in the changing facial expressions of the characters and the absurdity of the situation . a very minor farce that might appeal to the sitcom crowd . the film just didn't take its situation seriously and the story had many gaps in it , so it had no chance for black humor to develop . it instead played its set-up of the henpecked husband acting out his fantasy strictly for entertainment value to see how many chuckles it could draw . "
positive,"i want to correct what i wrote last year in my retrospective of david lean's war picture . i still think that "" the bridge on the river kwai "" doesn't deserve being the number 13 in the american film institute's list of the 100 greatest american movies . and i think that "" 12 angry men "" , "" witness for the prosecution "" and "" paths of glory "" would have been better choices for the oscar for the best picture of 1957 . but i can't deny the importance of "" the bridge on the river kwai "" - cinematically and in its contents . the film is set in burma in 1943 . a batallion of british soldiers in japanese war captivity is forced by the japanese to build a strategically momentous railway bridge over the river kwai . but the british commanding officer , colonel nicholson ( alec guinness ) , insists - corresponding to the geneva conventions - that his officers needn't work as simple workmen . struggling toughly , col . nicholson forces the japanese commandant , col . saito ( sessue hayakawa ) , to give way in this respect . afterwards col . nicholson assiduously commits himself for the building of the bridge . he considers it an opportunity to raise his men's morale , and he wants to prove superior british capabilities to the japanese . but the british high command sends a few soldiers who shall destroy the bridge , among them the american shears ( william holden ) - an escapee from the japanese prison camp - and the british major warden ( jack hawkins ) . . . a flaw of the picture is the clich ? d characterization of the japanese people . they are presented as if they were intellectually inferior to the british - as if the japanese were incapable of building a bridge . and the film doesn't consistently question the military spirit as kubrick does in "" paths of glory "" . lean seems rather fascinated by the military hierarchies . this is also perceptible in the conversations between col . nicholson and col . saito . in this regard it is symptomatic that shears , who doubts the military logic , is presented as a somehow unpleasant person . the audience is supposed to applaud col . nicholson's perseverance concerning the question if his officers shall work on the bridge or not . the spectators are supposed to neglect the risks col . nicholson takes for his men .  ( the plot by-passes these risks . ) that means , the picture isn't perfect . but it has a lot of virtues as well .  "" the bridge on the river kwai "" shows the "" madness "" of war and what it can produce in people's minds . it shows how colonel nicholson becomes possessed by the idea of being a hero and that others ( like shears ) get cynics . and lean's film is an interesting study of characters with clashing interests . these points and the sometimes ironic dialogue make this film an anti-war film ( despite inconsistencies in the treatment of this theme ) . david lean's direction is really effective and atmospherically perfect . his film is highly suspenseful , especially in its dramatic ( if not wholly plausible ) showdown . the film is also well-photographed and has an apt score . alec guinness does a magnificent job of bringing col . nicholson to life and making him such an interesting character . the other actors deliver fine performances as well . i like this extraordinary film despite its weaknesses .  ( c ) karl rackwitz ( klein k ? ris , germany , 1999 ) "
positive,"the sheer horrific audacity of the nazi plan to exterminate the jews of europe is almost incomprehensible . people may make documentaries about it for another hundred years and still not understand the organized , methodical hatred . five concentration camp survivors from the last days of world war ii tell their stories in the last days , the first documentary from steven spielberg's survivors of the shoah visual history foundation . the five interviewees are linked by their hungarian ancestry . as the introduction explains , even as germany started to lose the war , the nazis stepped up their extermination of the jews in europe . in 1944 , hungary had the last big population of jews within germany's reach , and they became the last target of hitler's "" final solution . "" each of the five tells his or her story . their stories are intercut chronologically , starting from normal life in pre-war hungary . they recall the nazi invasion of hungary , being sent to "" work "" camps and their realization that they were actually in death camps . they recall their horrible , precarious lives in auschwitz and buchenwald ; the deaths of their family and friends ; their loss of hope . each recalls his or her unfathomable , eventual liberation . and finally , the last days shows their cathartic , pained , modern-day return to their old homes and the camps . needless to say , their stories are horrifying , amazing , and emotionally draining . by themselves , the stories would be forceful testaments , but by cutting them in parallel , their impact is multiplied by five . the last days is a talking-heads style documentary -- it's mostly pictures of people telling their stories , intercut with period photographs and newsreel footage . in this kind of movie it's almost impossible to get archival pictures from the same time and place being discussed on-screen , but director james moll made a better effort than most at finding specific , or at least relevant , images to go with his subjects' narration . the liner notes ( one of the many nice features of this dvd ) indicate that there is some never-before-seen historical footage in the last days . it's not clear which scene it is . it could be one of two that i hadn't seen before , both powerful . one is rare color footage , shot by an american , of piles of victims in cattle cars . there is something jarring , something unsettling about seeing the pictures in color , when so much of the footage from world war ii is in black and white . another segment shows walking skeletons ; survivors who are so starved that they hardly look human anymore . there has been a glut of holocaust movies and i was skeptical that a new documentary would have anything new to say . but by focusing on hungarian jews during the last days of the war , moll told a specific part of the story in a new way , in greater detail . and i'm glad he did because his careful filmmaking stands up well compared to other movies on the same subject . the transfer to dvd is rich and beautiful . x-mozilla-status : 0009f words for a holocaust documentary , but some of the interviews take place in europe in late spring , when skies are blue and trees are green . also , the movie was shot on 35mm film ( and not video ! ) , so the richness and detail are impeccable . the dvd's features are plentiful and well-chosen . there is a theatrical trailer for the movie , which is a great introduction to the subject matter . there are about fifty still photos , both from the production crew and from the private collections of the survivors . also , the disc has two complete versions of the movie ( widescreen and full screen ) , both on the same side . one of the more interesting dvd features is an outtake segment for each of the survivors ( plus one for the crew ) . you'd think outtakes would be inappropriate in a holocaust documentary , but they're not bloopers . instead , they are solid , moving segments that were probably cut from the film only for length . one of them continues a confrontation that was only touched on lightly in the film . renee firestone ( one of the five ) spoke on camera with dr . hans m ? nch , a german doctor who ran the medical clinic at auschwitz . firestone was aggressive , questioning the doctor about what his children thought . the doctor was evasive and clearly uncomfortable . another of the outtakes showed bill basch saying a prayer for his dead friends at auschwitz . he ends his prayer by saying "" . . . forgive me for surviving . "" it's ambitious to shoot a documentary on 35mm film . it's ambitious to make it on a subject that has saturated cable , television , and movies . it's ambitious to make it 54 years after the events it covers . but the last days handles all these potential obstacles very well . it's only fitting that the dvd , with its wealth of interesting and relevant features , would also be ambitious and successful . "
positive,"there seem to be two reactions to dark city . you either love it or you are unimpressed . count me as a "" love it . "" as good as the crow and spawn are , dark city is better . where the former two have a specific comic-book following , the latter is an original work with the potential for broader appeal . it has a similar look to the others , but dark city is much more thoughtful and much less violent . not clever or complex , the story is still fascinating , like a selection from the twilight zone . a man ( rufus sewell ) is awakened in his bathtub by a man with a syringe . surprised , the attacker runs off . the dazed man gets out of the tub and finds a woman's body in the room . a mysterious caller warns him to leave the apartment immediately , so he packs some clothes and leaves , never sure why he's leaving or what he's fleeing . ghoulish figures in long coats recognize the man and chase him through the dark city , hounding him like figures in a nightmare . an odd blast of willpower allows the man to dream himself free from his pursuers long enough to check his i . d . the amnesiac learns that he is not dreaming and that his name is john murdoch . now if only he could remember the rest of his life . . . . dark city is good on many levels . first , the look of the movie is excellent . give credit to production designers george liddle and patrick tatopolous for creating a coherent look from diverse elements . there are visual elements from the american 1920s-60s , mixed with dickens-era urban industrial elements . it is all pulled together in a sad , dark look reminiscent of the diner in edward hopper's painting , nighthawks . proyas' use of models gives an appropriately eerie unreality to the film's world ( for not only does the audience see the city a model , but so do the ghouls ) . the look is like a cross between tim burton's batman and the bleak animation of the brothers quay . second , the editing of the film is good . the pacing is on track , and the plot is revealed , the "" amnesia "" explained , in satisfying increments . also , the stylized editing within each scene gives the movie a tense , caffeinated look . third , the special effects are well used . they look good , but more importantly , the right effects are used for the right job . one example stands out in my mind : the coated figures who haunt the city can attack telekinetically . a simple ripple effect is used . a more showy effect could have been chosen , but then it would have just been gratuitous . restraint was shown where necessary , letting the more critical effects look more impressive . finally , like gattaca , dark city spends a just a little effort striving for mythical significance . unlike gattaca , the story is just open-ended and non-literal enough to be successful . john murdoch's recovery from amnesia is tied to the passing of the night , and the hopeful coming of the dawn . his struggle with amnesia is both figuratively and literally the struggle of all mankind ( at least in his world ) . when we finally see the big picture of the movie's world , it is as mysterious as the iroquois image of the world being carried on the back of a giant turtle . a few minor flaws keep me from giving this movie the same perfect score roger ebert gave , but i do strongly recommend it , for its look , its pace , its story , and its timelessness . "
positive,"if there is one thing that bothers me about hollywood films it's their predictable endings . the devil's advocate has the atypical hollywood ending , when everything that should happen does . unfortunately for the devil's advocate , this ending nearly collapses in on itself , and ruins the entire film . nevertheless , the film does provide two and a half hours of pure entertainment ( note to self : kill whomever was in charge of the previews for this film ) . i don't think i was quite prepared for this movie because the trailers made it appear to be some supernatural horror film about satan . well , it does contain this element , but what is not mentioned in the ads is the other plot elements ( and seemingly more interesting ones at that ) . the devil's advocate begins in florida with an ongoing trial in session . kevin lomax ( keanu reeves ) is the defense attorney , working for a client whom has been accused of raping a young girl . he ends up with a not-guilty verdict , despite an emotional testimony from the victim ( heather matarazzo ) . he leaves the courthouse with his lovely wife mary ann ( charlize theron ) where he is approached with an offer to travel to new york city to help choose a good jury . he accepts ( mainly after seeing the paycheck he will receive ) and he flies to new york with his wife . after proving his worth for selecting juries ( and his perfect winning streak in court ) , the head of the firm , john milton ( al pacino ) , asks him to work permanently as a criminal lawyer . he graciously accepts , where he is treated almost as a god . he is given an incredible apartment ( which is bigger than my entire house now ) , and a hefty paycheck . his life seems to be on the rise . and of course , his life suddenly begins to waver and slowly decline . he is attracted to fellow employee christabella ( connie nielson ) , and his wife begins to feel very lonely in her large apartment . mary ann takes up a friendship with a neighbor who always gives advice , especially if it is not wanted . meanwhile , kevin nabs a case surrounding alexander cullen ( craig t . nelson ) who apparently murdered three people . he spends hours upon hours with this case , while forgetting his loving wife , who may or may not be going insane . all of this while john milton may or may not be the devil himself . after a while , things turn completely upside-down , as kevin's wife claims to have seen monstrous images superimposed on her friends . a fellow employee is murdered in the park , and his mother ( judith ivey ) reveals information about kevin's real father . is it all just a big nightmare ? or is john milton really satan , playing tricks with kevin's life ? the devil's advocate plays out fairly straight-forward , but for some odd reason , the screenwriters wanted to surprise everyone by giving us something we don't expect . is this surprise conclusion supposed to make us feel good and go home without feeling depressed or disturbed ? if so , the devil's advocate messes up completely , and ironically , i felt more depressed because of the ending as is now , than i would have if it had ended ten minutes early . i went into the devil's advocate expecting a shocking horror film , and that is exactly what i got . i was settled in to be disturbed mentally and emotionally , and that is what i got . but what was the most disturbing and horrible aspect of the movie is the poor ending ( did i mention that i didn't like the ending ? ) . the producers of this film take you on a thrilling roller coaster ride and just as it is ending , they pull the rug out from under you . films like se7en and the usual suspects can survive with this surprise ending because it is expected , more or less . we know it is going to end in an unpredictable way . the devil's advocate , on the other hand , ends unpredictably , not from us knowing a lot , but knowing nothing at all . if that is confusing , i recommend watching the film , and then reading that again . as for the film overall , i enjoyed the entire first two hours , being drawn in by a terrific character study and then adding the supernatural plot to increase the tension build from the character study . the film runs like a well-built clock , slowly building until finally exploding with a highly charged climax ( and an unpredictable one at that ) . and then you settle in for a nice resolution , which does not occur . it was at this point that i felt cheated . taking us on a terror ride of intrigue , we follow kevin lomax around , as he is the centerpiece of the film . everything occurs from his perspective . he is our representation on screen ( sort of ) . but we are forced to witness a conclusion which makes most of the film seem like a game . i don't want to spoil the ending , so all i can say is go see the film and decide for yourself . perhaps the most shocking thing about the devil's advocate is the extreme amount of everything . it earned its r rating for a reason . there is plenty of nudity , sex , violence , gore , and then you have gore , violence , sex , and more nudity . this film really isn't subtle about anything , showing us everything . it actually surprises me that this film did not receive an nc-17 rating , as it is quite harsh . however , the movie does have its merits , and nudity and sex are among those . i don't condone sex and nudity in films , but if its there , i might as well enjoy it . the biggest merit of this film is also the most interesting to watch . the confrontations between kevin lomax and john milton are entertaining , but what stands out amidst this extreme hatred is the decline of the wife , mary ann . portrayed by the extremely effective charlize theron , mary ann's problems are incredibly intense , and i found myself wanting to witness her decline . this may sound uncaring , but i wanted to watch because i felt sorry for her . she is the most interesting character on the screen , who is forced into a world where she is not wanted . something the devil's advocate contained actually shocked me for reasons other than extreme violence and nudity , especially for a film of this nature . the story actually has something to say about humanity . in one of the last scenes , john milton explains to kevin lomax the game god plays with his children ( he is satan , of course ) . he comments that it is human nature to lust and loathe in vanity . then , god sets up rules which contradict human nature . this semi-religious bashing is more humorous than frightening . what milton says is so true about our society that i found myself laughing out loud , partially thinking it was funny , but patially realizing it was true . these moral dilemmas are present throughout the devil's advocate , giving it an added depth many films skip over in their writing ( but i'm sure they came straight from the novel it was based on ) . when a film has something to say about our society , it deserves to be watched . the cast of the devil's advocate is one of the highlights , as we see memorable faces , and they put spins on those memorable faces we don't expect . heather matarazzo makes a brief appearance as the terrorized victim in the opening court case , and she does a great job . probably the big surprise of this film is keanu reeves . he has proven himself an uneven actor ( successes such as speed and bombs such as johnny mnemonic ) , but he tops himself with this performance . i have never seen him more believable to date . al pacino is of course the scene stealer . his devilish performance is equal to those of jack nicholson ( the witches of eastwick ) and max von sydow ( needful things ) . he could have easily gone too far over the top in many scenes , but he remains completely believable ( if that is the correct term ) . jeffrey jones ( mostly known as the principal in ferris bueller's day off ) also gives a good performance as eddie barzoon . judith ivey manages a credible performance as the mother who holds a secret to kevin's past . connie nielson is very effective in her role , and she also appears naked several times . one familiar face with a twist was "" coach "" star , craig t . nelson , who gives a very good performance . the devil's advocate is rated r for sexuality , nudity , violence , language , and some gore . at 144 minutes , this film moves along fairly quickly . for the first two hours , i sat completely engaged in the good performances and strong characters . the technical quality is also remarkable , with great special effects and a good musical score . director taylor hackford has managed to create a very disturbing motion picture , only to ruin a good chunk of tension with the final fifteen minutes . i guess my biggest problem with the ending is the fact that i went into the theater expecting a disturbing film , and hackford gave me just that for a long time . but just before the end , he got jitterish and relied on the hollywood safety net in order to make his film more mainstream . personally , i would have preferred it ending fifteen minutes early . "
positive,"there's something about ben stiller that makes him a popular choice among casting directors these days . stiller currently has three projects in circulation , and what other actor can lay claim to that ? he's in "" there's something about mary , "" which i * still * haven't seen . and he's in the acerbic "" your friends & neighbors , "" playing a talkative , sexually-frustrated drama coach called jerri . now there's "" permanent midnight , "" in which stiller plays another jerry , this one a heroin-addicted television writer , last name stahl . there's also something about this industry that pushes bankable stars like stiller into doing drug-addiction pictures the minute they've proved themselves commercially . ewan mcgregor springs to mind who , after successful turns in "" emma "" and "" brassed off , "" received greater respect and admiration for his mind-blowing realization as renton in danny boyle's transatlantic junk-fest , "" trainspotting . "" the philosophy appears to be a simple one : if you want 'em to be taken seriously , make 'em do drugs .  "" permanent midnight "" is based on the true life experiences of jerry stahl , a successful hollywood writer who , in the mid-eighties , had a $5 , 000-a-week job churning out plotlines for disposable tv sitcoms and a $6 , 000-a-week heroin habit . a habit , in stahl's own words , "" the size of utah . "" as stahl , stiller contributes a commanding performance . unlike "" trainspotting , "" which was successful in having it both ways by chronicling both the highs and the lows of heroin abuse , "" permanent midnight "" instead focuses on the concept of drug addiction as maintenance . one of the earliest observations in the film is a casual reference to "" naked lunch "" author william s . burroughs who , when asked why he shoots up first thing in the morning responds , "" so i can shave . "" stahl rarely appears to be puncturing veins for the thrill of it all in "" permanent midnight "" ; it's so he can talk to his mother on the phone , show up for work on time , even pay his bills . while the film itself occasionally wobbles around along with stahl , the writing ( adapted from stahl's autobiography by director david veloz ) is controlled and pointed .  "" permanent midnight "" shows how stahl moved from new york to l . a . to--again in the author's words-- "" escape the drug scene "" ( yeah , right ) ; why he entered into a convenient marriage with a british tv exec ( elizabeth hurley , so impossibly polite you'd swear her single profanity was dubbed ) ; and that he conceived a child in between his random hirings and firings . stahl narrates all this in a motel bedroom to a sympathetic lover called kitty ( norristown's own maria bello ) with whom he spent some rehab time . janeane garofalo is wasted--and miscast--as a heavily-bespectacled hollywood talent agent who fails to get her hooks into the doped-up wordsmith , and that's stahl himself playing a jaded clinic counselor . stiller , unshaven ( burroughs take note ) and with lots of mascara around the eyes , has stahl stumble through the film looking like a train wreck but , to his credit , never once pushes his pill-popping , needle-jabbing performance over the top . the ubiquitous stiller is the reason to see "" permanent midnight "" ; a dark , comic , and strangely absorbing study of assisted living . "
negative,"by the time dennis quaid , the ostensible star of switchback , makes his first appearance at about the 22-minute mark , you may find yourself wondering why he bothered . after all , writer/director jeb stuart has already set up a fairly promising pair of parallel story lines . the first finds amarillo , texas sheriff buck olmstead ( r . lee ermey ) facing a hotly-contested election battle just as a brutal double homicide is discovered at a motel in his jurisdiction . as olmstead begins his investigation , we also meet the two men who come to be our prime suspects . lane dixon ( jared leto ) is an enigmatic young hitchhiker ; bob goodall ( danny glover ) is the jovial motorist who offers lane a ride from texas to his utah destination . all the necessary conflicts seem to be in place -- the internal struggle of olmstead over the clash between good politics and good police work , and the external struggle as one of the two travelers eventually becomes villain to the other's protagonist . but then quaid shows up as grimly determined fbi agent frank lacrosse . lacrosse is certain that the amarillo murders are the work of a serial killer he has been tracking for nearly two years . he's not supposed to be tracking him any more -- according to the bureau , they've got their man -- but lacrosse has a very important reason for believing otherwise . two months earlier , lacrosse's own son was kidnapped by the killer , and the boy has yet to turn up anywhere . lacrosse knows his killer's work , and he knows that the man is still out there somewhere trying to continue their game . it wouldn't be fair to reduce everything that's wrong with switchback to quaid's presence , but it's a pretty good place to start . there's a reason lacrosse feels like an intruder in the narrative instead of its vital center : as a dramatic actor , dennis quaid possesses exactly one facial expression and one vocal intonation . we can tell lacrosse is determined because his face is a perpetual tight-jawed , sourpuss pucker ; we can tell he's grim because every word comes out in an eastwood-esque rasp . a more flexible performer might have given weight to the character , pulling the audience into his haunted intensity , making switchback _his_ film . quaid merely looks annoyed and slightly constipated . it's tough to become emotionally invested in a character's turmoil when it looks like all he really needs is a big bowl of bran flakes . even without quaid , it doesn't appear that switchback would have stayed on course . the early scenes between leto and glover have a lively energy , building our curiosity over which man -- the taciturn kid or his gregarious benefactor -- is the real threat . unfortunately , stuart tips his hand far too early in the game , both through the pitch of the individual performances and the facts he chooses to reveal . once the mystery of the killer's identity is dispatched , the interaction between leto and glover becomes stale and predictable . in fact , "" stale and predictable "" describes the direction that switchback takes in general , falling back on far-too-common hollywood devices like cats jumping out of nowhere , a climactic fistfight on board a freight train , and edgy law enforcement agents . it's too bad stuart wasn't willing to spend more time with sheriff olmstead , far and away the most interesting and appealing character in the film . played with atypical restraint by r . lee ermey , he's a wonderful , unconventional hero who seems genuinely comfortable accepting the consequences of acting on his convictions . a film focusing on the olmstead would have signaled a film-maker willing to take a few risks with his casting and story-telling . instead , stuart places his trust in a "" name "" star who can't carry the material . maybe next time he'll throw away that one crucial page in the script , the one where the grimly determined fbi agent wanders onto the scene to muck up a perfectly good story . "
positive,"robert redford is very good at playing characters who have incredible , god-given gifts , but are able to act like ordinary people . in "" the natural "" ( 1984 ) , he played the fallen angelic character of roy hobbs , the baseball player who was destined to be "" the best there ever was , "" but still acted like a humble farm boy . in "" butch cassidy and the sundance kid "" ( 1969 ) , he was the most dangerous shot in the west , yet he came off like a nothing more than a boyishly good-looking charmer . even in "" indecent proposal "" ( 1993 ) , where he played a man who was so good at making money that he believed he could buy love , redford was still able to exude an aura of shy decency , especially when reciting a tale of lost love . in his latest film , "" the horse whisperer , "" based on the best-selling novel by nicholas evans , redford again plays such a character . redford also directed the film although he swore up and down that he would never direct himself in a movie - i suppose the character of tom booker , a man who has the amazing gift of understanding and somehow communicating with horses , was just too good to pass up . despite his enormous and rare gift when it comes to training troubled horses ( a magazine article coins the phrase "" horse whisperer "" to describe his uncanny talent ) , booker sees himself as an everyday cattle rancher whose greatest fear is growing old and no longer having a purpose in life . booker's talents are taxed into service by annie maclean ( kristin scott thomas ) , a new york magazine editor whose daughter , grace ( scarlett johansson ) , was recently in a horrible accident . the accident , which is filmed with gut-wrenching horror , happens when grace and her best friend are out riding horses - an eighteen-wheeler kills grace's friend , severely wounds and traumatizes grace's horse , pilgrim , and causes grace to lose part of her right leg . annie believes that if pilgrim can be healed , grace will be healed as well , which leads her to booker . at first , she tries to get booker to come to new york to see the horse , but that doesn't work . instead , she packs up grace and pilgrim , leaves her husband , robert ( sam neill ) behind , and heads for the rolling hills of montana where booker runs a ranch with his brother , frank ( chris cooper ) , and his sister-in-law , diane ( dianne wiest ) . in many ways , the film is like a journey , both literally and symbolically . the move out west has always been a great american tradition of renewal , and it's hard not to see annie and grace's leaving manhattan for montana as a variation on the classic theme of city vs . country . in "" the horse whisperer , "" country is clearly the victor . the city is characterized by claustrophobia and unhappiness , and it is not until the characters arrive in the wide-open spaces of montana that grace's anger at being physically and emotionally crippled begins to dissipate , annie's controlling nature begins to relax , and pilgrim once again learns to trust people . redford is just as in love with the grand montana country in this film as he was when he directed "" a river runs through it "" six years ago . in many ways , "" the horse whisperer "" comes from the same poetic vein as "" river , "" and the movie could probably be a good fifteen minutes shorter if redford had decided to spend less camera-time on the grass and mountains . but then , that would ruin the magic . much of the film's photography is truly elegant , and it creates a palpable sense of the sheer expansiveness of the land . to further emphasize this , redford and cinematographer robert richardson ( "" natural born killers , "" "" platoon "" ) cheated a bit by shooting the beginning of the film - which takes place in new york - with mostly cold , harsh bluish filters and a more squarish 1 . 85 : 1 aspect ratio ; when the action shifts to montana , richardson switches to soft-focus and natural lighting , and the screen widens to a 2 . 35 : 1 aspect ratio . in terms of the story itself , "" the horse whisperer "" gives us the same romanticized view of adultery found in david lean's "" a brief encounter "" ( 1945 ) and clint eastwood's 1995 adaptation of robert james waller's "" the bridges of madison county "" ( richard lagravenese , co-screenwriter here also adapted "" bridges "" ) . although "" the horse whisperer "" has a strong romantic sensibility , i still find something oddly troubling about this kind of story . it seems to me that there should be some sympathy for the husband who's being left behind for this brief , heart-sweeping affair , but there rarely is . in "" the horse whisperer , "" the thankless role of being the fuddy-duddy husband falls to sam neill . he plays the character as a decent , hard-working man who is a good husband and father ; his only failure is that he loves his wife more than she loves him . he is at risk of losing annie to booker not because he did anything to drive her away , but simply because he happens to be a normal , fairly uninspiring man . there is one scene that is particularly telling of how the movie feels about each character . it shows booker and robert going into a horse pen - booker is dressed like a classic cowboy with hat and all , while robert looks somewhat frumpy and out-of-place in a baseball cap . as they enter the pen , booker assuredly swings over the fence , while robert hesitates , then opens the gate and , in a goofy moment , forgets to close it behind him . it's a small scene , but it clearly demonstrates the movie's thorough love of the booker character for his romantic roughness . after all , booker represents everything good about the city while robert represents everything banal and unnatural about it . the best scenes in "" the horse whisperer "" tend to involve not the building romance between booker and annie , but rather the healing process of grace and her horse . although booker's horse-training methods are mythical and unrealistic , the scenes with him and pilgrim are strangely mesmerizing . these are paralleled by the scenes between him and grace , some of which are humorous , and all of which are tender and true . at some point , i wished the movie would drop the whole romance angle and focus on grace more . nevertheless , redford is obviously a romantic at heart , and he brings a light touch to the erotic moments in the film . there are no dramatic sex scenes , but there is a moving scene when he and scott thomas are slow-dancing , always moving ever closer together , that is far more erotic than any scene of sweaty bodies grinding together . although the movie is longer than it should be and is essentially a melodramatic tearjerker with an unsatisfying conclusion that guarantees unhappiness for just about every character , there are enough moments like that which make "" the horse whisperer "" worth the price of admission . "
