I,first-person,personal pronoun,subject,singular
we,first-person,personal pronoun,subject,plural
you,second-person,personal pronoun,subject,singular
thou,second-person,personal pronoun,subject,singular
you,second-person,personal pronoun,subject,plural
ye,second-person,personal pronoun,subject,plural
you all,second-person,personal pronoun,subject,plural
y'all,second-person,personal pronoun,subject,plural
youse,second-person,personal pronoun,subject,plural
he,third-person,personal pronoun,subject,singular
she,third-person,personal pronoun,subject,singular
it,third-person,personal pronoun,subject,singular
they,third-person,personal pronoun,subject,singular
they,third-person,personal pronoun,subject,plural
one,generic-formal,personal pronoun,subject,.
you,generic-informal,personal pronoun,subject,.
who,interrogative,personal pronoun,subject,.
me,first-person,personal pronoun,object,singular
us,first-person,personal pronoun,object,plural
you,second-person,personal pronoun,object,singular
thee,second-person,personal pronoun,object,singular
you,second-person,personal pronoun,object,plural
you,second-person,personal pronoun,object,plural
you all,second-person,personal pronoun,object,plural
y'all,second-person,personal pronoun,object,plural
youse,second-person,personal pronoun,object,plural
him,third-person,personal pronoun,object,singular
her,third-person,personal pronoun,object,singular
it,third-person,personal pronoun,object,singular
them,third-person,personal pronoun,object,singular
them,third-person,personal pronoun,object,plural
one,generic-formal,personal pronoun,object,.
you,generic-informal,personal pronoun,object,.
whom,interrogative,personal pronoun,object,.
myself,first-person,personal pronoun,reflexive,singular
ourselves,first-person,personal pronoun,reflexive,plural
ourself,first-person,personal pronoun,reflexive,plural
yourself,second-person,personal pronoun,reflexive,singular
thyself,second-person,personal pronoun,reflexive,singular
yourselves,second-person,personal pronoun,reflexive,plural
yourselves,second-person,personal pronoun,reflexive,plural
y'alls,second-person,personal pronoun,reflexive,plural
himself,third-person,personal pronoun,reflexive,singular
hisself,third-person,personal pronoun,reflexive,singular
herself,third-person,personal pronoun,reflexive,singular
itself,third-person,personal pronoun,reflexive,singular
themself,third-person,personal pronoun,reflexive,singular
themselves,third-person,personal pronoun,reflexive,singular
theirself,third-person,personal pronoun,reflexive,singular
theirselves,third-person,personal pronoun,reflexive,singular
themselves,third-person,personal pronoun,reflexive,plural
theirselves,third-person,personal pronoun,reflexive,plural
oneself,generic-formal,personal pronoun,reflexive,.
yourself,generic-informal,personal pronoun,reflexive,.
mine,first-person,possessive pronoun,.,singular
ours,first-person,possessive pronoun,.,plural
ours,first-person,possessive pronoun,.,plural
yours,second-person,possessive pronoun,.,singular
thine,second-person,possessive pronoun,.,singular
yours,second-person,possessive pronoun,.,plural
yours,second-person,possessive pronoun,.,plural
y'alls,second-person,possessive pronoun,.,plural
his,third-person,possessive pronoun,.,singular
hers,third-person,possessive pronoun,.,singular
theirs,third-person,possessive pronoun,.,singular
theirs,third-person,possessive pronoun,.,plural
one's,generic-formal,possessive pronoun,.,.
yours,generic-informal,possessive pronoun,.,.
whose,interrogative,possessive pronoun,.,.
my,first-person,possessive determiner,.,singular
mine,first-person,possessive determiner,.,singular
me,first-person,possessive determiner,.,singular
our,first-person,possessive determiner,.,plural
your,second-person,possessive determiner,.,singular
thy,second-person,possessive determiner,.,singular
thine,second-person,possessive determiner,.,singular
your,second-person,possessive determiner,.,plural
your,second-person,possessive determiner,.,plural
his,third-person,possessive determiner,.,singular
her,third-person,possessive determiner,.,singular
its,third-person,possessive determiner,.,singular
their,third-person,possessive determiner,.,singular
their,third-person,possessive determiner,.,plural
one's,generic-formal,possessive determiner,.,.
your,generic-informal,possessive determiner,.,.
whose,interrogative,possessive determiner,.,.
